DAY,MONTH,RAINFALL,WIND_DIRECTION,WIND_SPEED,YEAR
16,9,4.55,230.0,1.9,2137
11,8,11.96,236.0,2.5,2045
18,4,4.17,221.0,2.4,2107
18,1,16.91,127.0,2.1,2065
27,5,12.03,67.0,2.4,2123
13,3,0.0,102.0,2.4,2125
15,9,0.0,180.0,2.9,2075
1,8,15.04,203.0,1.9,2118
31,8,0.0,10.0,2.3,2164
13,1,5.31,54.0,2.0,2122
29,3,7.01,252.0,2.2,2039
21,9,14.07,54.0,1.7,2086
20,3,17.5,173.0,1.8,2130
14,4,12.3,162.0,1.7,2133
24,12,14.19,103.0,1.9,2081
27,8,15.42,10.0,2.0,2118
31,12,9.15,333.0,1.2,2038
23,12,11.74,230.0,2.3,2103
24,6,0.0,149.0,2.7,2198
26,4,7.93,179.0,2.4,2073
23,1,2.0,20.0,3.0,2018
12,7,2.5,90.0,2.0,2021
23,7,7.01,199.0,2.4,2064
9,4,15.03,247.0,2.4,2152
30,6,29.82,268.0,1.3,2060
4,12,0.0,145.0,2.5,2049
11,4,9.88,274.0,2.4,2022
16,5,12.66,194.0,2.2,2065
6,1,12.22,128.0,2.2,2087
10,3,26.28,191.0,2.1,2169
12,1,4.18,72.0,1.8,2128
4,5,15.41,214.0,2.1,2038
13,6,7.7,168.0,2.1,2025
3,6,4.6,159.0,2.4,2049
15,4,0.74,70.0,2.5,2096
22,3,16.86,252.0,2.0,2193
10,9,6.62,115.0,2.6,2117
2,12,7.73,152.0,2.6,2154
13,10,2.05,128.0,2.8,2191
29,7,1.56,189.0,2.4,2040
10,9,7.71,64.0,2.3,2079
1,6,17.15,221.0,1.7,2080
1,7,9.56,172.0,1.8,2087
30,4,9.35,175.0,2.0,2133
10,2,7.77,171.0,2.3,2195
1,10,11.61,143.0,2.2,2074
5,11,0.0,21.0,2.1,2087
21,5,13.65,159.0,2.4,2083
18,12,6.29,206.0,2.5,2133
2,2,9.4,112.0,1.9,2069
22,11,9.45,198.0,2.2,2166
12,7,10.57,174.0,2.3,2136
10,8,0.0,172.0,2.7,2194
24,5,18.3,239.0,2.0,2116
1,7,4.99,106.0,2.5,2121
12,2,7.53,159.0,2.2,2114
2,9,3.27,38.0,2.0,2105
13,8,6.65,182.0,2.5,2049
2,2,13.41,235.0,2.0,2034
11,5,19.28,111.0,1.6,2037
9,6,0.0,91.0,2.2,2149
6,9,6.49,112.0,2.7,2040
21,12,8.79,164.0,2.4,2043
31,10,3.84,27.0,2.2,2106
5,6,8.78,232.0,1.5,2036
26,12,4.59,218.0,2.1,2129
29,1,0.0,127.0,2.3,2073
4,12,6.76,194.0,1.8,2048
3,10,10.66,215.0,2.4,2060
16,11,16.7,157.0,1.7,2072
1,12,16.43,203.0,1.2,2082
9,8,1.36,192.0,2.3,2095
24,6,5.23,122.0,1.9,2190
17,9,12.05,193.0,1.8,2147
16,9,6.66,229.0,2.1,2107
29,5,17.92,75.0,1.6,2063
2,1,11.5,20.0,7.0,2020
29,10,8.24,112.0,2.0,2148
26,4,3.09,25.0,2.8,2067
6,3,0.0,258.0,2.1,2136
2,8,1.6,163.0,2.1,2028
9,10,11.33,126.0,2.0,2083
24,9,5.97,251.0,2.4,2149
28,10,7.76,114.0,2.5,2201
4,10,0.0,94.0,2.6,2108
21,11,9.8,126.0,2.0,2194
25,8,16.1,193.0,1.8,2092
20,3,0.0,60.0,1.9,2085
16,12,11.0,144.0,2.0,2036
14,2,9.02,89.0,1.6,2063
12,3,0.0,147.0,2.4,2110
3,4,11.52,199.0,2.3,2153
13,4,5.11,199.0,2.5,2100
26,6,11.24,83.0,2.5,2072
22,1,16.54,168.0,2.1,2054
21,9,14.58,184.0,2.1,2124
4,12,3.0,243.0,2.6,2102
24,12,11.56,174.0,1.9,2129
26,7,4.57,192.0,2.4,2109
21,10,17.19,264.0,1.8,2147
17,10,0.0,178.0,2.1,2194
9,11,6.67,72.0,2.1,2070
11,3,7.25,256.0,2.8,2150
27,3,12.31,267.0,2.2,2150
5,3,20.28,213.0,1.8,2055
10,7,7.88,220.0,2.2,2090
10,4,12.78,232.0,2.7,2053
