DAY,MONTH,RAINFALL,WIND_DIRECTION,WIND_SPEED,YEAR
13,7,0.0,260.0,1.3,2200
20,10,8.55,143.0,0.8,2035
22,4,14.49,157.0,2.4,2172
30,10,4.26,118.0,1.7,2069
11,3,8.23,55.0,1.7,2146
19,1,3.04,108.0,1.5,2153
12,5,13.89,230.0,1.1,2108
27,7,3.38,57.0,0.8,2029
25,11,2.17,35.0,2.4,2027
13,6,11.32,167.0,0.8,2025
13,5,17.55,159.0,1.6,2193
18,9,19.53,111.0,0.8,2154
7,1,9.43,232.0,2.3,2190
3,7,11.11,142.0,0.8,2146
2,6,2.97,265.0,2.3,2066
25,3,3.48,199.0,2.9,2049
3,9,0.5,234.0,1.9,2101
28,2,8.07,38.0,0.8,2047
13,9,0.0,252.0,1.5,2170
26,8,9.14,114.0,2.2,2062
24,5,0.0,180.0,1.8,2183
13,2,14.37,72.0,1.4,2124
12,8,0.0,275.0,1.3,2126
23,4,13.52,47.0,2.9,2107
18,8,1.08,79.0,1.1,2034
5,5,0.0,304.0,0.8,2199
30,12,8.32,116.0,0.8,2160
26,8,12.02,240.0,0.8,2196
13,8,3.6,230.0,2.8,2146
24,2,6.86,16.0,1.5,2184
7,4,0.0,136.0,2.1,2036
18,1,1.3,92.0,1.9,2118
26,7,14.36,112.0,1.3,2043
9,1,0.1,194.0,3.0,2075
27,5,0.0,201.0,2.6,2035
18,4,5.5,114.0,2.8,2026
12,6,0.79,80.0,1.8,2152
2,12,9.68,195.0,0.8,2173
30,10,14.43,184.0,1.6,2123
25,11,3.34,104.0,0.8,2199
7,2,7.02,131.0,1.9,2113
2,8,13.44,67.0,1.1,2028
16,1,0.0,198.0,1.3,2066
28,12,11.17,21.0,2.7,2141
17,8,1.13,161.0,0.8,2158
3,3,3.44,292.0,1.8,2093
12,8,7.9,116.0,2.8,2024
10,7,0.0,49.0,2.6,2134
23,9,29.07,283.0,3.0,2090
10,6,3.83,16.0,1.8,2196
27,12,0.0,16.0,2.6,2165
3,11,8.39,268.0,1.2,2044
1,7,6.83,254.0,2.2,2101
15,10,12.75,73.0,2.4,2099
23,6,0.93,316.0,1.6,2046
14,2,11.73,101.0,2.4,2090
17,1,1.98,37.0,2.4,2182
6,7,17.0,340.0,1.0,2021
26,5,0.0,105.0,2.5,2123
9,9,15.2,39.0,1.6,2174
8,7,3.5,264.0,1.5,2101
11,12,11.87,16.0,1.6,2176
4,4,7.63,49.0,2.7,2181
17,3,0.0,16.0,1.6,2070
28,1,0.0,16.0,0.9,2121
4,11,4.5,103.0,2.5,2040
31,8,7.39,291.0,3.0,2180
27,3,14.91,16.0,2.3,2113
