DAY,MONTH,RAINFALL,WIND_DIRECTION,WIND_SPEED,YEAR
16,9,13.8,175.0,2.0,2137
11,8,9.1,218.0,2.1,2045
18,4,0.0,81.0,2.2,2107
18,1,0.0,327.0,1.9,2065
27,5,13.61,216.0,1.4,2123
13,3,0.98,50.0,3.2,2125
15,9,0.0,345.0,1.8,2075
1,8,1.51,175.0,1.8,2118
31,8,10.24,127.0,1.5,2164
13,1,10.85,101.0,2.3,2122
29,3,0.0,176.0,2.1,2039
21,9,15.55,172.0,2.9,2086
20,3,10.13,259.0,1.3,2130
14,4,10.97,1.0,2.0,2133
24,12,3.55,211.0,1.4,2081
27,8,12.39,64.0,1.6,2118
31,12,12.46,92.0,1.2,2038
23,12,8.12,297.0,1.2,2103
24,6,7.52,211.0,2.2,2198
26,4,3.34,47.0,1.4,2073
23,1,2.2,60.0,2.0,2018
12,7,8.1,60.0,1.0,2021
23,7,5.33,94.0,2.8,2064
9,4,0.0,227.0,1.3,2152
30,6,0.0,127.0,2.6,2060
4,12,0.0,311.0,3.0,2049
11,4,9.35,261.0,1.2,2022
16,5,5.11,130.0,1.7,2065
6,1,3.76,235.0,2.2,2087
10,3,0.99,209.0,2.1,2169
12,1,9.15,131.0,2.8,2128
4,5,5.82,56.0,0.3,2038
13,6,0.0,141.0,1.9,2025
3,6,4.66,210.0,2.1,2049
15,4,0.72,155.0,1.0,2096
22,3,10.03,298.0,1.4,2193
10,9,11.87,143.0,1.8,2117
2,12,8.23,266.0,1.9,2154
13,10,9.07,247.0,1.8,2191
29,7,7.77,341.0,2.0,2040
10,9,0.0,216.0,1.5,2079
1,6,6.58,294.0,0.8,2080
1,7,0.0,185.0,2.3,2087
30,4,12.03,292.0,0.9,2133
10,2,0.0,227.0,1.8,2195
1,10,0.0,164.0,1.2,2074
5,11,0.0,323.0,2.0,2087
21,5,2.65,1.0,1.2,2083
18,12,7.84,173.0,1.6,2133
2,2,5.16,259.0,1.5,2069
22,11,11.05,97.0,2.8,2166
12,7,8.42,172.0,2.7,2136
10,8,7.08,265.0,2.0,2194
24,5,0.94,358.0,2.2,2116
1,7,2.97,330.0,2.0,2121
12,2,1.82,289.0,0.9,2114
2,9,0.88,27.0,0.8,2105
13,8,0.53,242.0,1.9,2049
2,2,4.24,128.0,2.0,2034
11,5,0.0,123.0,1.1,2037
9,6,5.05,130.0,1.7,2149
6,9,0.0,228.0,1.3,2040
21,12,0.0,210.0,1.5,2043
31,10,8.61,282.0,2.3,2106
5,6,16.84,1.0,1.8,2036
26,12,0.0,317.0,3.2,2129
29,1,0.0,45.0,2.0,2073
4,12,9.83,86.0,2.4,2048
3,10,7.12,1.0,0.5,2060
16,11,0.0,66.0,2.7,2072
1,12,2.57,210.0,1.0,2082
9,8,14.3,251.0,0.4,2095
24,6,1.28,32.0,1.5,2190
17,9,0.0,205.0,1.5,2147
16,9,0.0,76.0,2.2,2107
29,5,1.7,188.0,1.6,2063
2,1,4.6,50.0,4.0,2020
29,10,0.0,111.0,1.5,2148
26,4,0.89,131.0,1.4,2067
6,3,0.0,284.0,1.5,2136
2,8,10.85,152.0,1.3,2028
9,10,0.0,212.0,2.2,2083
24,9,11.17,152.0,1.9,2149
28,10,10.28,162.0,1.9,2201
4,10,0.0,170.0,2.2,2108
21,11,6.54,249.0,2.0,2194
25,8,10.29,208.0,0.8,2092
20,3,13.19,43.0,1.9,2085
16,12,12.56,21.0,1.6,2036
14,2,0.0,1.0,2.4,2063
12,3,12.59,242.0,1.0,2110
3,4,4.23,162.0,1.7,2153
13,4,0.0,241.0,1.6,2100
26,6,0.0,161.0,1.2,2072
22,1,12.25,93.0,1.1,2054
21,9,6.89,54.0,1.6,2124
4,12,4.8,40.0,2.2,2102
24,12,3.47,267.0,1.3,2129
26,7,1.61,14.0,2.6,2109
21,10,0.0,169.0,2.1,2147
17,10,6.49,246.0,0.8,2194
9,11,11.34,27.0,2.1,2070
11,3,0.0,164.0,1.1,2150
27,3,0.66,291.0,1.6,2150
5,3,1.73,162.0,1.2,2055
10,7,6.45,174.0,2.3,2090
10,4,0.0,197.0,2.0,2053
2,1,12.07,61.0,2.3,2067
26,7,0.0,343.0,1.1,2145
2,11,14.4,138.0,1.4,2029
9,3,0.0,74.0,2.9,2164
25,2,1.91,302.0,0.2,2084
20,9,3.33,159.0,1.3,2121
6,6,19.52,1.0,1.6,2036
4,9,15.36,327.0,2.1,2071
14,2,0.0,18.0,1.7,2173
15,7,2.54,65.0,1.1,2080
6,10,8.49,133.0,2.4,2107
30,4,9.9,333.0,2.0,2125
16,8,8.32,1.0,2.3,2100
24,3,0.9,192.0,1.7,2135
18,7,1.78,327.0,1.7,2073
5,8,1.89,62.0,2.8,2107
15,1,0.0,1.0,2.4,2172
8,10,4.14,126.0,2.2,2073
31,5,0.0,27.0,2.5,2090
27,7,5.62,273.0,1.7,2143
6,3,8.35,183.0,2.0,2134
2,4,8.1,180.0,0.9,2034
8,11,0.0,58.0,2.1,2170
4,6,0.99,282.0,1.6,2178
23,8,1.07,130.0,1.9,2197
27,7,12.99,87.0,2.3,2032
24,11,2.21,218.0,1.7,2154
6,3,0.0,88.0,1.8,2187
25,11,4.41,134.0,1.9,2083
30,10,15.44,83.0,0.8,2044
17,2,0.0,211.0,1.7,2179
5,10,0.0,80.0,1.6,2039
3,8,8.47,298.0,1.4,2153
7,12,0.0,50.0,2.0,2022
24,11,0.0,146.0,1.8,2167
19,10,2.16,171.0,1.5,2129
11,12,12.98,234.0,1.1,2107
4,12,0.0,328.0,1.7,2060
26,5,12.19,76.0,0.7,2187
8,1,4.65,330.0,0.8,2106
27,11,4.02,203.0,1.4,2021
17,2,1.4,80.0,2.0,2024
1,9,29.06,262.0,0.9,2203
29,11,0.0,291.0,1.8,2145
23,3,0.0,197.0,1.8,2156
27,3,4.5,237.0,1.6,2023
21,1,7.96,99.0,1.5,2044
20,10,11.1,265.0,1.2,2078
23,1,4.27,224.0,1.6,2023
17,12,0.0,16.0,3.0,2039
11,1,5.29,12.0,1.8,2202
8,1,3.16,300.0,1.7,2095
11,1,0.0,1.0,2.9,2087
21,5,15.53,226.0,1.5,2117
25,4,0.0,242.0,1.1,2083
24,8,5.35,86.0,1.7,2203
1,1,1.52,123.0,1.0,2206
7,12,6.54,182.0,1.1,2080
18,5,58.8,50.0,2.0,2022
29,12,0.0,365.0,3.0,2100
16,10,9.3,220.0,1.3,2056
20,3,0.0,119.0,2.0,2195
23,6,5.63,275.0,1.7,2046
