DAY,MONTH,RAINFALL,WIND_DIRECTION,WIND_SPEED,YEAR
13,7,19.36,47.0,3.9,2200
20,10,26.58,162.0,1.8,2035
22,4,17.43,37.0,2.6,2172
30,10,30.31,220.0,4.0,2069
11,3,30.39,56.0,3.5,2146
19,1,30.38,42.0,3.8,2153
12,5,19.32,130.0,3.7,2108
27,7,10.14,76.0,1.2,2029
25,11,7.97,52.0,3.4,2027
13,6,0.0,29.0,3.7,2025
13,5,30.4,170.0,4.0,2193
18,9,9.9,226.0,2.3,2154
7,1,15.99,78.0,4.0,2190
3,7,3.26,18.0,3.8,2146
2,6,0.23,225.0,2.9,2066
25,3,30.38,103.0,4.0,2049
3,9,9.16,190.0,3.3,2101
28,2,0.0,39.0,3.8,2047
13,9,30.39,39.0,3.9,2170
26,8,0.0,65.0,2.0,2062
24,5,15.82,225.0,4.0,2183
13,2,12.24,192.0,3.7,2124
12,8,24.42,100.0,4.0,2126
23,4,0.0,17.0,3.6,2107
18,8,0.0,-15.0,3.8,2034
5,5,14.71,107.0,3.0,2199
30,12,23.79,187.0,3.7,2160
26,8,14.06,187.0,2.7,2196
13,8,4.63,78.0,2.5,2146
24,2,30.37,151.0,3.3,2184
7,4,10.15,78.0,2.1,2036
18,1,15.54,78.0,3.8,2118
26,7,0.0,84.0,3.7,2043
9,1,30.36,170.0,3.9,2075
27,5,19.88,16.0,2.0,2035
18,4,28.47,172.0,2.2,2026
12,6,14.46,209.0,1.8,2152
2,12,30.4,283.0,4.0,2173
30,10,0.0,67.0,2.6,2123
25,11,19.66,147.0,2.4,2199
7,2,24.07,195.0,3.6,2113
2,8,0.0,51.0,4.0,2028
16,1,20.37,124.0,4.0,2066
28,12,20.62,-7.0,3.8,2141
17,8,22.57,211.0,3.9,2158
3,3,6.96,25.0,3.9,2093
12,8,10.26,275.0,2.1,2024
10,7,12.48,258.0,3.6,2134
23,9,0.0,57.0,2.3,2090
10,6,0.0,20.0,3.3,2196
27,12,22.32,280.0,2.7,2165
3,11,4.16,100.0,3.1,2044
1,7,22.56,311.0,2.8,2101
15,10,30.39,136.0,3.8,2099
23,6,12.97,163.0,2.4,2046
14,2,13.35,52.0,3.8,2090
17,1,3.29,145.0,3.6,2182
6,7,0.0,180.0,1.0,2021
26,5,30.05,80.0,1.9,2123
9,9,17.67,216.0,2.2,2174
8,7,22.41,37.0,4.0,2101
11,12,30.39,215.0,2.1,2176
4,4,5.15,200.0,2.5,2181
17,3,23.88,190.0,2.4,2070
28,1,30.39,74.0,4.0,2121
4,11,9.9,55.0,3.7,2040
31,8,10.8,208.0,3.2,2180
27,3,23.16,54.0,1.7,2113
1,8,15.53,-1.0,2.6,2159
4,1,5.12,80.0,2.0,2090
25,12,29.96,117.0,4.0,2080
11,6,6.41,126.0,1.8,2162
18,8,30.33,103.0,3.7,2198
15,10,29.41,169.0,3.3,2108
21,5,17.51,179.0,3.8,2122
15,8,15.79,177.0,3.7,2169
19,4,29.72,-15.0,4.0,2165
22,9,30.4,174.0,3.9,2060
13,5,30.39,344.0,2.3,2175
31,10,26.13,42.0,2.9,2164
5,3,17.35,225.0,1.4,2026
10,6,5.75,300.0,2.2,2144
27,2,20.79,285.0,2.6,2148
15,1,4.5,22.0,3.8,2100
10,11,0.0,-2.0,3.0,2041
20,7,28.54,104.0,3.8,2073
16,8,0.94,145.0,3.7,2157
4,1,30.4,279.0,3.4,2063
8,10,0.84,176.0,3.9,2182
20,1,15.79,215.0,3.6,2049
21,1,25.76,160.0,4.0,2044
21,4,25.37,-15.0,3.7,2121
4,7,4.25,245.0,3.1,2168
15,10,0.0,72.0,3.9,2196
13,4,0.01,-15.0,3.9,2070
25,4,21.58,104.0,2.2,2063
4,12,30.39,-15.0,4.0,2064
25,1,30.35,233.0,3.9,2081
28,3,22.63,178.0,4.0,2127
1,9,0.0,220.0,2.0,2019
20,4,7.78,155.0,2.3,2046
18,1,13.98,298.0,2.4,2082
7,11,14.58,197.0,4.0,2109
2,10,30.38,72.0,3.4,2143
4,11,14.28,-11.0,4.0,2050
2,12,30.4,192.0,3.9,2041
24,8,7.1,208.0,2.7,2148
8,1,8.16,52.0,2.3,2156
14,4,24.75,14.0,3.4,2177
10,3,24.46,121.0,4.0,2124
4,6,0.0,146.0,2.9,2191
6,5,30.27,-12.0,3.9,2071
25,11,17.75,-15.0,3.9,2081
13,10,4.24,60.0,2.3,2167
15,2,15.82,-15.0,4.0,2196
2,11,20.24,112.0,3.5,2119
17,9,24.62,219.0,2.6,2072
22,10,0.0,57.0,4.0,2127
27,3,18.52,223.0,2.3,2023
18,10,19.7,75.0,3.2,2067
6,6,0.0,110.0,2.0,2019
22,5,0.0,111.0,2.4,2024
5,11,9.53,18.0,3.8,2153
1,7,28.99,259.0,3.0,2108
22,10,9.04,104.0,2.8,2134
1,7,27.65,295.0,2.6,2063
7,1,13.25,186.0,3.9,2149
23,10,0.0,-15.0,2.8,2187
3,2,0.0,40.0,1.0,2020
