DAY,MONTH,RAINFALL,WIND_DIRECTION,WIND_SPEED,YEAR
16,9,5.77,245.0,1.0,2137
11,8,0.02,75.0,2.3,2045
18,4,0.0,-48.0,3.1,2107
18,1,0.96,340.0,1.3,2065
27,5,3.81,237.0,1.0,2123
13,3,10.47,74.0,2.5,2125
15,9,4.11,-30.0,1.8,2075
1,8,5.16,198.0,1.8,2118
31,8,1.22,198.0,2.0,2164
13,1,7.05,64.0,2.9,2122
29,3,1.71,241.0,2.6,2039
21,9,13.5,50.0,2.5,2086
20,3,7.22,-48.0,3.5,2130
14,4,0.0,107.0,2.5,2133
24,12,5.72,190.0,2.0,2081
27,8,18.11,-7.0,1.7,2118
31,12,0.0,68.0,3.4,2038
23,12,4.92,2.0,2.9,2103
24,6,16.06,152.0,2.6,2198
26,4,4.79,45.0,2.5,2073
23,1,0.6,340.0,2.0,2018
12,7,1.4,90.0,2.0,2021
23,7,0.0,46.0,2.6,2064
9,4,8.12,117.0,2.0,2152
30,6,4.67,-48.0,2.8,2060
4,12,13.8,33.0,1.3,2049
11,4,0.0,128.0,3.2,2022
16,5,6.6,64.0,2.6,2065
6,1,9.06,206.0,1.0,2087
10,3,8.46,-17.0,2.9,2169
12,1,0.0,68.0,3.1,2128
4,5,0.0,145.0,2.1,2038
13,6,0.41,69.0,2.6,2025
3,6,9.63,-20.0,3.3,2049
15,4,0.0,117.0,2.2,2096
22,3,15.38,-48.0,3.6,2193
10,9,8.62,-48.0,3.4,2117
2,12,8.75,17.0,2.6,2154
13,10,7.23,-48.0,3.5,2191
29,7,2.13,112.0,1.6,2040
10,9,3.94,49.0,3.2,2079
1,6,4.76,244.0,1.2,2080
1,7,13.1,42.0,2.8,2087
30,4,0.0,73.0,3.1,2133
10,2,4.39,168.0,1.6,2195
1,10,5.37,109.0,1.9,2074
5,11,0.0,281.0,2.8,2087
21,5,10.3,49.0,3.5,2083
18,12,13.05,64.0,3.1,2133
2,2,0.0,-48.0,1.1,2069
22,11,3.46,-48.0,3.0,2166
12,7,9.71,-33.0,3.3,2136
10,8,8.67,-48.0,3.6,2194
24,5,9.38,-48.0,1.2,2116
1,7,3.6,119.0,2.4,2121
12,2,5.21,208.0,1.3,2114
2,9,0.0,-48.0,2.3,2105
13,8,9.83,26.0,3.2,2049
2,2,0.0,113.0,2.3,2034
11,5,0.0,-48.0,3.6,2037
9,6,3.36,89.0,2.2,2149
6,9,8.19,279.0,1.2,2040
21,12,4.17,32.0,2.2,2043
31,10,16.18,-13.0,3.0,2106
5,6,28.05,-48.0,2.7,2036
26,12,29.27,110.0,2.2,2129
29,1,11.45,253.0,1.0,2073
4,12,4.89,153.0,2.3,2048
3,10,12.8,24.0,2.9,2060
16,11,15.87,40.0,2.8,2072
1,12,26.92,136.0,2.4,2082
9,8,6.15,122.0,3.0,2095
24,6,0.0,-11.0,3.5,2190
17,9,12.91,5.0,3.5,2147
16,9,3.47,100.0,2.9,2107
29,5,0.99,111.0,3.6,2063
2,1,0.0,40.0,4.0,2020
29,10,12.11,174.0,1.9,2148
26,4,7.55,20.0,2.8,2067
6,3,13.37,-31.0,3.4,2136
2,8,11.72,147.0,1.5,2028
9,10,10.28,16.0,2.3,2083
