YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,3.6,29.2,25,81,6,40
2017,1,2,30.6,27.2,22.3,89,5,40
2017,1,3,4.6,28.9,23.3,90,5,20
2017,1,4,35.3,29.2,23.7,91,5,40
2017,1,5,3.3,29.4,23.2,87,4,90
2017,1,6,0,29.4,23.1,83,3,70
2017,1,7,0,28.8,23.6,84,3,40
2017,1,8,0,30,24,85,3,40
2017,1,9,46.6,27.2,22,93,5,70
2017,1,10,88.7,27.1,22,94,5,70
2017,1,11,45.6,27.2,23,94,4,40
2017,1,12,8.4,28.9,23.2,95,3,40
2017,1,13,-1,28.4,23.5,88,5,360
2017,1,14,0.8,27.9,23.4,87,5,360
2017,1,15,6.8,28.3,22.6,89,5,40
2017,1,16,0.6,28.1,23,85,5,40
2017,1,17,4.6,28.9,23.7,78,5,70
2017,1,18,4.8,27.2,23.5,90,4,40
2017,1,19,-1,28.9,23.9,86,3,40
2017,1,20,-1,28.1,23.5,87,5,20
2017,1,21,89.4,29.2,21.3,85,4,40
2017,1,22,29,26.1,21.5,96,3,90
2017,1,23,-1,29,23,86,4,90
2017,1,24,11.8,27.4,22.7,90,6,70
2017,1,25,-1,28.9,23,82,4,90
2017,1,26,5.3,29.4,22.3,90,4,90
2017,1,27,0.2,29.1,23.7,83,4,40
2017,1,28,5.9,28.8,23.5,86,5,40
2017,1,29,22.6,27.8,24,94,5,40
2017,1,30,19.3,29.6,23,94,2,20
2017,1,31,1.4,29.4,23.5,94,2,40
2017,2,1,41.1,29,23.8,95,2,40
2017,2,2,11.7,26.8,23.9,91,5,40
2017,2,3,5.9,28.4,24,88,5,20
2017,2,4,0.5,28.6,23.5,85,4,40
2017,2,5,18.2,28.1,22.6,87,4,360
2017,2,6,-1,28.5,24,80,6,360
2017,2,7,0.4,28,24,79,5,20
2017,2,8,-1,29.2,24.2,84,4,360
2017,2,9,1.6,29.1,23,80,4,20
2017,2,10,9.6,28.9,22,83,4,40
2017,2,11,2,27.2,22.5,84,5,40
2017,2,12,0.3,28.2,23.3,77,5,40
2017,2,13,2.2,28.3,22,75,5,40
2017,2,14,16.4,25.6,21.9,84,6,40
2017,2,15,2.3,27.2,21.5,78,5,40
2017,2,16,2.8,27.1,23.4,85,4,40
2017,2,17,8.3,27.2,23.5,95,4,40
2017,2,18,2.6,29.4,23.7,94,3,90
2017,2,19,2.6,27.9,22.4,94,2,90
2017,2,20,0,27.9,23.3,92,2,90
2017,2,21,4,29.9,23.5,86,3,70
2017,2,22,14.8,29.4,23,91,3,40
2017,2,23,5.8,29.1,23.3,90,2,90
2017,2,24,64.6,28.3,23,96,3,40
2017,2,25,6.1,28.9,22.5,92,1,40
2017,2,26,0,30,24,89,3,40
2017,2,27,0,30,24.6,86,3,40
2017,2,28,5.2,29.8,25.2,86,4,40
2017,3,1,58.7,27.8,23.2,94,3,40
2017,3,2,0.5,29.4,25,85,4,40
2017,3,3,7.9,30,23.2,87,3,40
2017,3,4,1.7,29,23.3,89,4,90
2017,3,5,0,29.9,22.4,83,3,40
2017,3,6,0,28.8,24.3,86,3,40
2017,3,7,0,29.4,25.2,81,3,40
2017,3,8,4.4,30.1,24.2,83,3,40
2017,3,9,0,29.7,25.3,81,4,40
2017,3,10,0,30.1,24.4,84,3,40
2017,3,11,1.1,29.7,24.8,86,2,40
2017,3,12,21.4,28.9,24.4,85,4,40
2017,3,13,9.6,27.7,23,94,1,70
2017,3,14,11.5,29.4,24.5,91,3,40
2017,3,15,41.3,26.7,24,90,4,40
2017,3,16,1,29.3,25,83,3,40
2017,3,17,0.8,29.6,24.4,85,4,40
2017,3,18,1.4,30,23.8,86,4,40
2017,3,19,6.2,30.1,23.8,87,4,40
2017,3,20,70.8,29.7,23.5,85,3,40
2017,3,21,54.5,27.6,23,98,2,360
2017,3,22,0,30.6,24.1,91,2,270
2017,3,23,0,30.2,24.5,90,2,70
2017,3,24,0,30.6,23,88,2,220
2017,3,25,0,30.6,23.5,89,2,40
2017,3,26,3.7,31,24.8,89,3,40
2017,3,27,1.4,30.7,25.5,84,5,90
2017,3,28,0.2,30.4,25.7,84,4,40
2017,3,29,-1,31.1,26,82,3,40
2017,3,30,0,30.6,23.9,84,3,40
2017,3,31,0,30.1,23,86,1,90
2017,4,1,1.5,30.6,24.7,86,2,40
2017,4,2,17.1,28.3,23,86,6,40
2017,4,3,1.3,27.5,22.3,85,6,20
2017,4,4,-1,28.3,24,81,4,40
2017,4,5,1.1,29.8,24.5,81,3,40
2017,4,6,0,30,24.5,82,3,40
2017,4,7,48.7,31.4,24.8,88,3,70
2017,4,8,-1,31.1,25,90,3,90
2017,4,9,0,31.1,23.5,86,2,90
2017,4,10,0,30.3,21.7,85,1,180
2017,4,11,0,30.4,21.9,84,2,40
2017,4,12,0.2,30.8,24.5,87,2,40
2017,4,13,0,30.9,25,83,3,40
2017,4,14,-1,30.4,25.6,81,4,40
2017,4,15,9.5,31.4,24.9,88,3,40
2017,4,16,36.7,31.1,24,93,2,270
2017,4,17,14.8,31.4,24.5,92,1,40
2017,4,18,18.6,32.5,25,95,2,180
2017,4,19,0,31.7,24,87,2,140
2017,4,20,0,31.7,24,90,1,180
2017,4,21,0,32.5,24.1,84,2,90
2017,4,22,0,32.7,25.5,83,2,180
2017,4,23,0,31.1,24,86,2,180
2017,4,24,0,31.9,25.5,83,2,40
2017,4,25,0,32.4,24.5,83,2,90
2017,4,26,0,31.4,24.4,85,2,180
2017,4,27,0,31.3,22.6,83,2,180
2017,4,28,0,31.8,24,82,2,180
2017,4,29,0,32.8,24,87,2,220
2017,4,30,0.8,32.8,23.9,92,2,270
2017,5,1,0,32.1,20.2,88,2,40
2017,5,2,0,32.2,21.8,86,2,90
2017,5,3,1.3,32.8,22.9,86,2,160
2017,5,4,0,32.4,23.6,83,2,70
2017,5,5,3.8,32.9,21,84,2,40
2017,5,6,3.4,32.2,23,87,3,60
2017,5,7,-1,32.4,22.8,88,2,90
2017,5,8,3.6,32.8,26,85,2,40
2017,5,9,0,32.3,26,88,2,90
2017,5,10,0,32.9,27.8,83,3,90
2017,5,11,1.8,32.8,25.1,90,3,90
2017,5,12,1.8,32.1,25.7,87,2,90
2017,5,13,0,32.8,25.1,85,2,90
2017,5,14,0,32.3,25.8,84,2,40
2017,5,15,0,32.3,24.7,85,2,90
2017,5,16,-1,33.8,24.2,88,1,40
2017,5,17,0,35.4,24.5,84,2,180
2017,5,18,9.4,33.9,24,90,2,200
2017,5,19,0,32.8,24.8,90,1,220
2017,5,20,2.6,33.2,24.5,87,2,180
2017,5,21,39.4,33.3,23,91,2,180
2017,5,22,66.1,32.8,24.5,97,1,180
2017,5,23,32.8,31.7,24,92,2,270
2017,5,24,3.5,31.7,23.3,90,2,200
2017,5,25,1.1,32.8,24.3,93,2,180
2017,5,26,5.3,33.2,24,87,2,180
2017,5,27,0.1,32.2,25,90,2,180
2017,5,28,0,33.9,24.6,88,2,180
2017,5,29,3.8,33.9,22.9,88,2,90
2017,5,30,0,33.4,20.8,91,2,180
2017,5,31,0,33.9,22.8,86,2,180
