YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,25.8,28,24.4,90,4,40
2017,1,2,33,29.5,24.8,89,4,40
2017,1,3,68,26.8,24.5,92,3,40
2017,1,4,31.6,27.8,24,91,4,40
2017,1,5,11.6,27.8,22.6,87,3,40
2017,1,6,1.6,27.7,23,87,2,20
2017,1,7,3.2,28.5,23.5,88,2,40
2017,1,8,32,26.6,23.5,92,2,40
2017,1,9,203.6,26,23.5,95,3,40
2017,1,10,51.6,26.1,23,94,4,40
2017,1,11,4,29.9,24.1,87,2,90
2017,1,12,31,27.8,23.5,88,3,40
2017,1,13,55.4,25,23,96,1,40
2017,1,14,19.4,26.1,23.6,95,1,90
2017,1,15,39.2,26.5,23,94,4,40
2017,1,16,3.2,26.4,22.7,88,4,40
2017,1,17,5.6,26.4,22.7,81,4,40
2017,1,18,14.8,26.5,23.5,87,3,40
2017,1,19,0.8,28,23.3,86,3,40
2017,1,20,9.4,25.8,23.6,91,3,20
2017,1,21,79.4,26.6,23.5,90,3,20
2017,1,22,35.8,26.9,23.5,95,2,90
2017,1,23,0,29.5,25.3,80,5,60
2017,1,24,5,28.5,23.8,81,4,90
2017,1,25,11.8,26.2,21.4,86,3,40
2017,1,26,4.4,28.3,24,81,3,60
2017,1,27,6,27.2,23,86,3,60
2017,1,28,7.4,27.5,24,85,3,40
2017,1,29,5.8,27.8,23.4,93,2,60
2017,1,30,-1,30.2,24.3,89,1,20
2017,1,31,12.6,27,23.5,93,1,40
2017,2,1,8.2,29.2,22.3,88,2,60
2017,2,2,24.8,26.4,23.5,92,4,60
2017,2,3,10.8,28,22.5,88,3,40
2017,2,4,0,27.8,21.4,87,2,40
2017,2,5,0.6,27.9,22.5,88,2,20
2017,2,6,0,28,23.6,82,3,40
2017,2,7,2.6,29.5,22.4,83,2,20
2017,2,8,0,29.5,23.5,83,4,40
2017,2,9,0,29,21.1,79,3,20
2017,2,10,2,27.6,22.3,82,3,40
2017,2,11,9.2,26,22,85,4,40
2017,2,12,2.2,26.5,21.4,80,3,40
2017,2,13,1.5,27.1,20.9,76,4,20
2017,2,14,9.4,26.8,21,82,4,40
2017,2,15,10,26,22,81,3,40
2017,2,16,11,26.9,22.5,89,4,20
2017,2,17,15.2,27.8,24.5,89,3,60
2017,2,18,23,29.1,23.5,91,2,60
2017,2,19,1.2,29,23.4,85,2,60
2017,2,20,-1,27.8,24,89,2,40
2017,2,21,4.6,28.5,24,86,3,40
2017,2,22,8.4,26.7,23.2,91,3,40
2017,2,23,18.4,26.7,23.5,94,2,20
2017,2,24,0,29.1,22.4,89,2,40
2017,2,25,0.8,29,21.9,88,2,60
2017,2,26,0,29,23.2,85,2,40
2017,2,27,0,29.1,22.5,79,3,40
2017,2,28,11.4,28.9,23.1,86,4,40
2017,3,1,0.6,28.3,22.5,89,2,60
2017,3,2,3.6,28.5,22.5,87,1,40
2017,3,3,6,26.8,22.1,93,1,60
2017,3,4,0,29.6,23,79,2,60
2017,3,5,0,29.1,21,81,2,40
2017,3,6,0,31,21.8,81,2,40
2017,3,7,0,28.3,23.1,78,3,40
2017,3,8,9,28.4,23.5,81,2,40
2017,3,9,1.6,27,21.8,84,2,40
2017,3,10,0,29.2,23.7,83,3,40
2017,3,11,56.2,27,24,93,2,20
2017,3,12,16.6,27.5,23.5,92,2,40
2017,3,13,0,28.2,23,91,1,90
2017,3,14,0,30.4,23.8,87,2,40
2017,3,15,48.8,27.2,22.6,94,1,40
2017,3,16,0.2,29,23.3,84,3,40
2017,3,17,0,29.8,23.1,78,1,60
2017,3,18,3,27.6,24,79,2,60
2017,3,19,0.4,29.8,22,82,2,90
2017,3,20,22.6,26.9,23.8,91,2,20
2017,3,21,0,30.5,23.2,88,1,90
2017,3,22,0,31,22,86,3,60
2017,3,23,0,31.6,23,85,1,60
2017,3,24,0.2,31,23.7,83,2,40
2017,3,25,3,31.4,24.3,85,2,40
2017,3,26,7,28.5,25,85,2,90
2017,3,27,2.2,29.8,24.8,82,5,60
2017,3,28,5.2,28.2,25,83,3,40
2017,3,29,2.4,28,24,87,3,60
2017,3,30,-1,29,24.6,83,3,20
2017,3,31,0,29,24.1,87,2,40
2017,4,1,14.8,30,23.4,84,1,60
2017,4,2,21.8,29.7,23.5,85,3,40
2017,4,3,0.2,27.9,24,83,3,40
2017,4,4,0,27.9,24,76,3,40
2017,4,5,2.4,28.1,24.5,85,3,40
2017,4,6,34,30.4,24.5,82,3,40
2017,4,7,14.2,28.9,24.5,90,2,40
2017,4,8,0,30.5,24,84,3,40
2017,4,9,0,30.8,20.3,84,2,40
2017,4,10,0,31.5,19.8,83,1,20
2017,4,11,0,31.5,22.8,81,1,90
2017,4,12,0,32.1,24,85,2,40
2017,4,13,0,30.9,24.1,82,2,40
2017,4,14,4.4,30.5,24.7,82,2,40
2017,4,15,6.4,30.3,23.9,86,3,60
2017,4,16,1,29.5,23.5,88,1,90
2017,4,17,0,31.8,23.5,84,1,40
2017,4,18,0,32.6,20.9,84,1,30
2017,4,19,0,32.8,23.5,80,1,40
2017,4,20,0,32.5,22.5,81,1,60
2017,4,21,0,32,22.6,82,1,40
2017,4,22,0,34,22,80,2,90
2017,4,23,0,32.2,22.5,80,1,60
2017,4,24,0.4,32,22.6,81,2,40
2017,4,25,0,31.5,22.3,83,2,60
2017,4,26,0,32,21,79,2,40
2017,4,27,0,32.8,21,79,1,20
2017,4,28,0,33.6,22,79,2,180
2017,4,29,0,32.5,22,80,1,60
2017,4,30,0,32,22,79,2,180
2017,5,1,0,32.9,21.6,77,2,60
2017,5,2,0,32.2,22.8,80,2,60
2017,5,3,0,33,21.4,83,2,20
2017,5,4,0.2,32.6,24.5,81,2,60
2017,5,5,30,33,24.5,84,2,40
2017,5,6,3,32.5,23.3,86,2,60
2017,5,7,11.8,32.5,24,82,2,40
2017,5,8,2.2,32,23.6,86,2,70
2017,5,9,1.6,33,25,83,2,20
2017,5,10,4.8,32.5,24.9,81,2,90
2017,5,11,21.2,30.8,24.3,92,2,60
2017,5,12,1,32.5,24.9,87,3,60
2017,5,13,0,32.5,21.9,83,2,90
2017,5,14,0.4,32.5,24,87,2,40
2017,5,15,0,33.5,24,82,2,60
2017,5,16,0,34.7,24.5,85,2,180
2017,5,17,1,34.5,25,83,2,160
2017,5,18,0,35,24.5,78,3,180
2017,5,19,0,34,25.4,79,2,90
2017,5,20,0,33.4,25,85,2,180
2017,5,21,0,35,25.5,80,1,180
2017,5,22,0,35,25.8,80,1,180
2017,5,23,3.6,34.3,25.5,86,2,320
2017,5,24,0.2,31.8,25.7,91,1,340
2017,5,25,-1,33.9,25.3,83,2,140
2017,5,26,4,33.7,24.8,92,1,140
2017,5,27,0,33.8,24,80,1,180
2017,5,28,0,34.8,23.2,83,2,180
2017,5,29,0,35,24.5,79,1,40
2017,5,30,0,34.5,20.5,82,2,20
2017,5,31,-1,33.8,23.5,84,2,180
2017,6,1,0,35,25,73,2,140
2017,6,2,0,35.5,25.3,77,2,180
2017,6,3,0.6,35.4,24.5,80,2,180
2017,6,4,-1,35.5,25,76,1,200
2017,6,5,4,34.5,24.8,79,1,20
2017,6,6,-1,31.8,24.9,88,1,70
2017,6,7,4.4,33.2,24.6,87,2,140
2017,6,8,8.2,31.7,24.6,92,1,90
2017,6,9,24.2,29,24.8,94,1,140
2017,6,10,0,31.3,23.8,89,2,220
2017,6,11,28.4,33,24,85,1,300
2017,6,12,0,33.8,21.1,82,1,70
2017,6,13,0,33.4,24.2,83,3,90
2017,6,14,0,33.5,23.8,81,1,60
2017,6,15,0,34,20.8,80,2,180
2017,6,16,0,34.3,23.7,80,3,180
2017,6,17,0,34.5,24.5,77,1,340
2017,6,18,0.2,33.4,23.2,81,2,40
2017,6,19,0,35,24.2,76,2,100
2017,6,20,32.8,32.2,24.3,80,3,180
2017,6,21,15.4,32.3,24.2,93,1,160
2017,6,22,0.8,31.3,24.3,87,1,180
2017,6,23,-1,33,22.6,84,1,180
2017,6,24,0,33.8,22.6,82,1,180
2017,6,25,0,34,23.7,76,2,140
2017,6,26,0.6,33.3,24.1,86,2,180
2017,6,27,7.8,31,23.8,83,1,40
2017,6,28,13,31.9,23.7,91,2,40
2017,6,29,0.4,33.1,23.8,88,2,180
2017,6,30,6.6,33,22,79,1,90
2017,7,1,0,32,24,82,1,280
2017,7,2,33,31.7,24,91,2,180
2017,7,3,8.8,30.5,23,88,1,220
2017,7,4,2,28.5,22.9,94,1,260
2017,7,5,7.4,32.4,23.2,88,2,180
2017,7,6,15.2,32,24,85,1,40
2017,7,7,1.6,30,23.8,89,1,40
2017,7,8,5.8,30.7,23,88,3,40
2017,7,9,8.4,32,22,84,1,40
2017,7,10,-1,32,23.8,84,1,40
2017,7,11,35.2,30.2,22.4,91,2,180
2017,7,12,18.4,32.1,24,88,1,90
2017,7,13,2.4,31.9,24.2,89,1,90
2017,7,14,0.8,30.5,24.4,91,1,90
2017,7,15,38.4,30.2,24.5,93,1,90
2017,7,16,0,32,24,84,1,80
2017,7,17,11.4,32.4,25,86,2,40
2017,7,18,3,29,23.2,91,1,40
2017,7,19,0,30.5,24,87,2,40
2017,7,20,5.2,31.8,24.2,83,1,220
2017,7,21,11.2,31.2,24.5,89,2,220
2017,7,22,42.2,33,21.8,85,1,220
2017,7,23,13,28,23,96,1,180
2017,7,24,10.2,31.8,24,87,2,220
2017,7,25,12.4,30,24.9,82,3,260
2017,7,26,1.8,30.3,26,81,2,180
2017,7,27,0,31,26,82,3,220
2017,7,28,-1,31.8,27.1,81,3,220
2017,7,29,0,32,27.4,78,3,220
2017,7,30,0,32,27,78,3,220
2017,7,31,0,33.6,26.8,79,3,220
2017,8,1,0,33.5,27,78,2,220
2017,8,2,36.4,31.8,24.6,92,2,220
2017,8,3,0.4,32.8,25,84,3,220
2017,8,4,18,32,23.5,87,2,220
2017,8,5,0,33,24.5,81,1,220
2017,8,6,0,33.8,24.5,83,1,180
2017,8,7,25,33.5,22.6,80,2,180
2017,8,8,0,33.4,24.4,85,2,140
2017,8,9,-1,33.6,24.6,84,1,320
2017,8,10,2.8,34.1,24.5,85,1,180
2017,8,11,0,33.3,23.5,84,1,90
