YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,15.4,28.4,25.2,86,3,40
2017,1,2,22.5,29.1,25.5,89,3,40
2017,1,3,24.5,27.3,24.9,90,3,40
2017,1,4,35.2,28.5,25.4,92,3,50
2017,1,5,8.1,28.2,24.8,85,3,30
2017,1,6,-1,30,24.5,81,2,40
2017,1,7,2.8,30.7,24.4,79,3,40
2017,1,8,6.5,29,24.4,83,2,40
2017,1,9,89.6,26.4,24.2,93,3,40
2017,1,10,81.6,26.2,24.5,94,3,50
2017,1,11,22.2,29.8,25.4,88,3,40
2017,1,12,1.2,29.3,24.8,84,2,50
2017,1,13,25.4,26.4,24.8,91,2,40
2017,1,14,13.1,26.8,24.5,91,3,70
2017,1,15,54.9,31,23.3,88,3,40
2017,1,16,1.7,26.4,24.5,78,3,40
2017,1,17,3,29,24.8,74,5,50
2017,1,18,19.1,27,24.5,89,3,40
2017,1,19,4.4,30.3,24.5,81,3,40
2017,1,20,0.4,28.5,25.2,82,3,40
2017,1,21,67.6,29,24.2,86,3,50
2017,1,22,30.9,26.8,24.3,94,2,50
2017,1,23,1.3,29.1,25.5,83,4,70
2017,1,24,8,30.1,24.8,80,4,80
2017,1,25,-1,29,24.1,77,4,60
2017,1,26,1.8,30.2,24.5,80,3,60
2017,1,27,7.8,30,24,80,3,60
2017,1,28,14,29.5,24,84,4,50
2017,1,29,11,27.5,24.6,93,2,40
2017,1,30,1,30.4,25.5,88,2,90
2017,1,31,3.9,30.2,25.1,89,2,50
2017,2,1,-1,30,25,84,3,40
2017,2,2,25.2,28.5,24.5,88,3,50
2017,2,3,20.5,29,23.5,85,3,40
2017,2,4,0,29.1,24.5,76,3,30
2017,2,5,-1,30.4,24.3,81,3,40
2017,2,6,-1,30,25,76,4,40
2017,2,7,0.2,30,25,77,3,50
2017,2,8,0,32,24.5,77,5,40
2017,2,9,0,30.8,24,76,4,50
2017,2,10,-1,30,23.5,74,3,50
2017,2,11,3.5,26.5,23.1,83,3,40
2017,2,12,0,27.4,23.7,71,3,40
2017,2,13,-1,27.6,23,70,4,50
2017,2,14,0,28.7,22.8,71,4,30
