YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,3.2,30.8,23.1,87,2,90
2017,1,2,6.7,30,23.5,88,1,90
2017,1,3,6.3,30,22.6,90,1,40
2017,1,4,39.2,29.8,23.5,90,2,90
2017,1,5,0.4,28.6,23,88,2,90
2017,1,6,0.4,30.1,22,84,2,20
2017,1,7,1.4,31.5,22.5,83,1,360
2017,1,8,31,29,21.6,85,1,360
2017,1,9,43.4,27,22.2,95,2,20
2017,1,10,4.1,27.3,23.2,92,2,70
2017,1,11,0,32,23,84,1,90
2017,1,12,8.2,30,22.4,89,1,360
2017,1,13,39.2,29.9,22.3,92,1,340
2017,1,14,10.8,29.1,22.4,92,2,340
2017,1,15,11.6,28,22,89,2,360
2017,1,16,0.6,25.2,22,86,2,40
2017,1,17,0.6,27.2,22.5,83,2,90
2017,1,18,6.6,29.1,22.4,87,2,40
2017,1,19,0,30.2,22,85,1,20
2017,1,20,3.9,29.5,22.6,86,1,50
2017,1,21,54.4,29.4,22,92,1,40
2017,1,22,2.2,29.6,22.9,89,2,340
2017,1,23,0,31,23.2,84,2,90
2017,1,24,0.2,31.5,23.5,76,2,90
2017,1,25,0.2,29.5,21.8,80,2,90
2017,1,26,6.8,30.7,21.5,83,2,90
2017,1,27,0.6,31.5,22.1,81,1,70
2017,1,28,2,31.5,22.9,84,1,40
2017,1,29,1,30.4,23,89,1,90
2017,1,30,0,29,23.5,89,2,90
2017,1,31,1.6,29.8,23.1,90,2,90
2017,2,1,2.3,31,22.5,86,1,120
2017,2,2,7.2,30.5,22.4,88,1,20
2017,2,3,1.6,31.3,21.7,81,1,60
2017,2,4,0,29,22.6,82,2,360
2017,2,5,0,30,22.7,80,2,340
2017,2,6,0,29.5,22.7,76,2,360
2017,2,7,0.3,29.2,22.6,81,2,360
2017,2,8,0,29.8,24,77,2,350
2017,2,9,0,29.6,22.5,78,2,350
2017,2,10,0,30,21.6,77,2,40
2017,2,11,1.2,31.1,21.5,79,2,360
2017,2,12,0,31,20.7,72,1,40
2017,2,13,0.3,30.3,20.3,73,2,40
2017,2,14,0,30,21.4,73,1,40
2017,2,15,1.3,28.5,21.5,82,1,70
2017,2,16,6.2,27.6,20,85,1,40
2017,2,17,0.6,28.6,23.5,88,2,90
2017,2,18,0.4,32.2,23.1,85,3,90
2017,2,19,0,33.3,23.2,80,2,90
2017,2,20,0.4,32.3,23.4,85,2,90
2017,2,21,12.3,32.5,22.7,77,1,90
2017,2,22,0.8,30.3,22.1,86,1,90
2017,2,23,7.8,28.1,22.7,91,1,360
2017,2,24,0,30.6,23.5,88,1,40
2017,2,25,0,31.4,23.5,84,1,90
2017,2,26,0,32.6,22.5,79,1,40
2017,2,27,0,32.2,22.4,78,2,40
2017,2,28,11,33.1,22.8,79,1,90
2017,3,1,0,32,22.6,81,1,90
2017,3,2,4.7,29.5,21.4,84,1,120
2017,3,3,0.4,31.2,22.1,82,1,90
2017,3,4,0,32.5,21.1,77,1,90
2017,3,5,0,32.2,22.5,75,2,90
2017,3,6,0,31,22,81,2,90
2017,3,7,0,29.4,23.5,76,2,40
2017,3,8,0.4,30.2,23.5,77,1,90
2017,3,9,-1,30,21.8,82,2,20
2017,3,10,0,33.4,23,77,1,20
2017,3,11,19.1,29.5,22.5,89,1,360
2017,3,12,21.4,28,22.5,91,1,350
2017,3,13,0,31,23.1,86,1,350
2017,3,14,0,32,23.3,83,1,120
2017,3,15,0.6,32.5,22.5,86,1,120
2017,3,16,0,30.4,23,83,1,90
2017,3,17,0,30.4,22.5,81,2,90
2017,3,18,0,31,23,79,2,90
2017,3,19,0,31.6,22.5,79,2,90
2017,3,20,16.8,28,22.5,87,2,350
2017,3,21,0.4,31.1,22.6,90,1,220
2017,3,22,0,32,23.2,85,1,120
2017,3,23,0,32.3,22.5,82,1,90
2017,3,24,0,31.5,23.5,78,1,120
2017,3,25,0,31,23.6,80,1,120
2017,3,26,0,32.2,23.6,80,1,90
2017,3,27,0.4,32.7,23.8,78,1,60
2017,3,28,7.2,31.1,22.7,80,1,40
2017,3,29,4.4,28.7,23,87,1,90
2017,3,30,0,32.6,22.9,80,1,90
2017,3,31,0,30.9,23.5,81,1,350
2017,4,1,5.5,31.8,22.2,84,1,120
2017,4,2,2,32.3,22.5,78,1,140
2017,4,3,0.2,27,23,85,2,360
2017,4,4,0,30.2,24,80,1,40
2017,4,5,1,30,23.4,86,1,20
2017,4,6,24.8,31.5,25,81,2,140
2017,4,7,0,31.5,24.5,84,1,90
2017,4,8,0,31,24,85,1,140
2017,4,9,0,30.5,23.2,82,1,140
2017,4,10,0,30,23.4,79,2,90
2017,4,11,0,30.1,24.2,86,1,90
2017,4,12,0,32,24,85,2,140
2017,4,13,0,32.2,24.5,81,2,90
2017,4,14,0,32.6,24,79,2,360
2017,4,15,0.6,33,23.5,80,2,90
2017,4,16,23.6,29.2,23,94,2,120
2017,4,17,0,31.4,24,86,2,140
2017,4,18,0,32.2,23.5,79,1,140
2017,4,19,0,32,24,80,2,90
2017,4,20,0,32.6,23.5,81,2,140
2017,4,21,0,32.4,24.8,81,1,120
2017,4,22,0,32.8,24.2,80,1,140
2017,4,23,0,32.8,24.2,80,1,140
2017,4,24,0,33.5,24.4,75,1,90
2017,4,25,0,33,23,75,1,120
2017,4,26,0,33.5,22.6,78,1,120
2017,4,27,0,33,22.5,76,1,90
2017,4,28,0,32.8,23,75,1,90
2017,4,29,0,33.3,23.5,75,1,90
2017,4,30,0,33.5,23.8,77,1,90
2017,5,1,0,33.5,24.6,81,1,140
2017,5,2,0,32.8,25.2,80,2,90
2017,5,3,0,33.2,24.4,81,1,90
2017,5,4,0,34,24,79,2,90
2017,5,5,0.4,34,25,80,2,90
2017,5,6,0,34.2,24.8,80,2,90
2017,5,7,0,35,25.5,84,2,90
2017,5,8,0,34.5,25,79,2,140
2017,5,9,0,34.5,25.5,75,2,40
2017,5,10,1.4,34.5,25.5,75,2,90
2017,5,11,0.6,34,25.5,81,2,120
2017,5,12,0,34.5,25.5,78,2,120
2017,5,13,0,34,25,80,2,120
2017,5,14,0,33,25.5,80,1,90
2017,5,15,0,33.5,25,81,2,90
2017,5,16,13,32,24,87,1,140
2017,5,17,19.4,32.2,24,88,1,90
2017,5,18,0,33.8,24,85,2,90
2017,5,19,0,33.4,24.2,82,2,140
2017,5,20,7.9,33,24.4,85,1,90
2017,5,21,3.8,31,24.2,85,1,180
2017,5,22,0.6,32.5,24.8,85,2,220
2017,5,23,30.4,33.4,23.6,91,2,180
2017,5,24,1.7,32.8,24.5,82,1,220
