YEAR,MONTH,DAY,DATE,CITY,RAINFALL,WIND_DIRECTION,WIND_SPEED
2020,1,1,2020-01-01,Legazpi,25.28,191.0,2.1
2020,1,2,2020-01-02,Legazpi,11.01,1.0,3.1
2020,1,3,2020-01-03,Legazpi,4.29,1.0,3.4
2020,1,4,2020-01-04,Legazpi,1.86,193.0,3.2
2020,1,5,2020-01-05,Legazpi,11.55,120.0,2.3
2020,1,6,2020-01-06,Legazpi,2.88,70.0,3.0
2020,1,7,2020-01-07,Legazpi,5.89,34.0,2.4
2020,1,8,2020-01-08,Legazpi,0.0,64.0,2.3
2020,1,9,2020-01-09,Legazpi,2.96,124.0,2.4
2020,1,10,2020-01-10,Legazpi,1.37,51.0,1.1
2020,1,11,2020-01-11,Legazpi,4.44,128.0,1.7
2020,1,12,2020-01-12,Legazpi,12.09,128.0,1.5
2020,1,13,2020-01-13,Legazpi,0.0,172.0,1.5
2020,1,14,2020-01-14,Legazpi,0.0,171.0,1.7
2020,1,15,2020-01-15,Legazpi,0.0,174.0,1.5
2020,1,16,2020-01-16,Legazpi,0.0,149.0,1.7
2020,1,17,2020-01-17,Legazpi,0.0,131.0,2.0
2020,1,18,2020-01-18,Legazpi,0.0,192.0,2.0
2020,1,19,2020-01-19,Legazpi,0.0,199.0,2.3
2020,1,20,2020-01-20,Legazpi,0.0,174.0,1.9
2020,1,21,2020-01-21,Legazpi,0.0,216.0,1.7
2020,1,22,2020-01-22,Legazpi,0.0,161.0,1.8
2020,1,23,2020-01-23,Legazpi,0.0,159.0,1.5
2020,1,24,2020-01-24,Legazpi,0.0,234.0,1.6
2020,1,25,2020-01-25,Legazpi,0.0,322.0,2.0
2020,1,26,2020-01-26,Legazpi,0.0,267.0,1.5
2020,1,27,2020-01-27,Legazpi,0.0,280.0,1.7
2020,1,28,2020-01-28,Legazpi,0.0,280.0,1.9
2020,1,29,2020-01-29,Legazpi,0.0,312.0,1.6
2020,1,30,2020-01-30,Legazpi,0.0,262.0,1.1
2020,1,31,2020-01-31,Legazpi,4.95,186.0,2.0
2020,2,1,2020-02-01,Legazpi,2.05,48.0,1.9
2020,2,2,2020-02-02,Legazpi,14.74,1.0,1.7
2020,2,3,2020-02-03,Legazpi,17.49,131.0,2.3
2020,2,4,2020-02-04,Legazpi,7.75,10.0,2.8
2020,2,5,2020-02-05,Legazpi,7.77,1.0,2.9
2020,2,6,2020-02-06,Legazpi,6.04,1.0,2.6
2020,2,7,2020-02-07,Legazpi,13.16,1.0,2.8
2020,2,8,2020-02-08,Legazpi,0.6,1.0,3.2
2020,2,9,2020-02-09,Legazpi,0.0,1.0,2.6
2020,2,10,2020-02-10,Legazpi,10.53,1.0,2.2
2020,2,11,2020-02-11,Legazpi,10.34,40.0,1.8
2020,2,12,2020-02-12,Legazpi,7.7,140.0,2.5
2020,2,13,2020-02-13,Legazpi,0.0,95.0,1.7
2020,2,14,2020-02-14,Legazpi,13.6,212.0,1.4
2020,2,15,2020-02-15,Legazpi,1.22,216.0,2.5
2020,2,16,2020-02-16,Legazpi,2.31,192.0,2.0
2020,2,17,2020-02-17,Legazpi,11.2,293.0,1.9
2020,2,18,2020-02-18,Legazpi,8.45,193.0,1.9
2020,2,19,2020-02-19,Legazpi,1.04,192.0,1.4
2020,2,20,2020-02-20,Legazpi,0.0,214.0,1.3
2020,2,21,2020-02-21,Legazpi,3.42,154.0,1.9
2020,2,22,2020-02-22,Legazpi,4.06,112.0,1.9
2020,2,23,2020-02-23,Legazpi,0.0,225.0,1.6
2020,2,24,2020-02-24,Legazpi,2.68,162.0,2.0
2020,2,25,2020-02-25,Legazpi,5.45,275.0,1.8
2020,2,26,2020-02-26,Legazpi,0.0,334.0,1.1
2020,2,27,2020-02-27,Legazpi,0.0,251.0,1.0
2020,2,28,2020-02-28,Legazpi,0.0,308.0,1.5
2020,2,29,2020-02-29,Legazpi,0.0,354.0,2.1
2020,3,1,2020-03-01,Legazpi,15.09,152.0,1.8
2020,3,2,2020-03-02,Legazpi,14.89,151.0,1.8
2020,3,3,2020-03-03,Legazpi,14.54,76.0,2.7
2020,3,4,2020-03-04,Legazpi,8.71,60.0,2.6
2020,3,5,2020-03-05,Legazpi,17.08,9.0,2.0
2020,3,6,2020-03-06,Legazpi,0.0,1.0,2.2
2020,3,7,2020-03-07,Legazpi,1.42,1.0,2.7
2020,3,8,2020-03-08,Legazpi,0.06,1.0,2.1
2020,3,9,2020-03-09,Legazpi,0.0,1.0,2.4
2020,3,10,2020-03-10,Legazpi,0.0,1.0,2.7
2020,3,11,2020-03-11,Legazpi,11.8,19.0,2.1
2020,3,12,2020-03-12,Legazpi,2.95,1.0,2.3
2020,3,13,2020-03-13,Legazpi,10.81,25.0,1.5
2020,3,14,2020-03-14,Legazpi,0.01,1.0,2.3
2020,3,15,2020-03-15,Legazpi,0.0,44.0,1.1
2020,3,16,2020-03-16,Legazpi,14.82,20.0,1.2
2020,3,17,2020-03-17,Legazpi,0.0,125.0,1.7
2020,3,18,2020-03-18,Legazpi,4.48,31.0,1.4
2020,3,19,2020-03-19,Legazpi,0.02,102.0,2.2
2020,3,20,2020-03-20,Legazpi,0.0,198.0,1.9
2020,3,21,2020-03-21,Legazpi,0.0,241.0,2.7
2020,3,22,2020-03-22,Legazpi,0.0,198.0,1.9
2020,3,23,2020-03-23,Legazpi,0.0,63.0,2.0
2020,3,24,2020-03-24,Legazpi,4.88,63.0,1.4
2020,3,25,2020-03-25,Legazpi,5.28,229.0,1.5
2020,3,26,2020-03-26,Legazpi,7.84,109.0,2.2
2020,3,27,2020-03-27,Legazpi,6.82,194.0,1.0
2020,3,28,2020-03-28,Legazpi,0.0,177.0,1.2
2020,3,29,2020-03-29,Legazpi,4.92,217.0,1.5
2020,3,30,2020-03-30,Legazpi,0.0,167.0,1.6
2020,3,31,2020-03-31,Legazpi,14.98,20.0,2.2
2020,4,1,2020-04-01,Legazpi,13.09,1.0,1.9
2020,4,2,2020-04-02,Legazpi,20.85,1.0,2.9
2020,4,3,2020-04-03,Legazpi,16.84,141.0,2.1
2020,4,4,2020-04-04,Legazpi,9.09,42.0,1.2
2020,4,5,2020-04-05,Legazpi,7.83,107.0,2.1
2020,4,6,2020-04-06,Legazpi,8.05,1.0,2.1
2020,4,7,2020-04-07,Legazpi,3.16,80.0,2.0
2020,4,8,2020-04-08,Legazpi,6.8,129.0,2.2
2020,4,9,2020-04-09,Legazpi,12.54,105.0,1.9
2020,4,10,2020-04-10,Legazpi,10.68,167.0,2.5
2020,4,11,2020-04-11,Legazpi,7.86,164.0,2.3
2020,4,12,2020-04-12,Legazpi,18.54,242.0,1.9
