YEAR,MONTH,DAY,DATE,CITY,RAINFALL,WIND_DIRECTION,WIND_SPEED
2020,1,1,2020-01-01,Masbate,0.0,131.0,2.7
2020,1,2,2020-01-02,Masbate,0.17,-3.0,2.9
2020,1,3,2020-01-03,Masbate,5.97,91.0,2.9
2020,1,4,2020-01-04,Masbate,16.29,155.0,3.7
2020,1,5,2020-01-05,Masbate,11.48,147.0,2.1
2020,1,6,2020-01-06,Masbate,21.99,153.0,1.3
2020,1,7,2020-01-07,Masbate,18.48,283.0,2.3
2020,1,8,2020-01-08,Masbate,12.14,105.0,3.2
2020,1,9,2020-01-09,Masbate,5.36,15.0,3.2
2020,1,10,2020-01-10,Masbate,20.89,-15.0,3.3
2020,1,11,2020-01-11,Masbate,28.46,-15.0,3.7
2020,1,12,2020-01-12,Masbate,17.79,-15.0,3.6
2020,1,13,2020-01-13,Masbate,8.21,-15.0,2.0
2020,1,14,2020-01-14,Masbate,8.62,57.0,1.3
2020,1,15,2020-01-15,Masbate,15.77,90.0,1.9
2020,1,16,2020-01-16,Masbate,14.89,94.0,2.2
2020,1,17,2020-01-17,Masbate,0.0,55.0,3.7
2020,1,18,2020-01-18,Masbate,24.5,174.0,2.5
2020,1,19,2020-01-19,Masbate,11.3,108.0,2.1
2020,1,20,2020-01-20,Masbate,3.12,66.0,2.4
2020,1,21,2020-01-21,Masbate,0.0,150.0,2.8
2020,1,22,2020-01-22,Masbate,1.08,107.0,2.0
2020,1,23,2020-01-23,Masbate,0.0,108.0,2.9
2020,1,24,2020-01-24,Masbate,14.12,91.0,2.6
2020,1,25,2020-01-25,Masbate,0.0,28.0,3.1
2020,1,26,2020-01-26,Masbate,10.25,134.0,3.0
2020,1,27,2020-01-27,Masbate,22.95,48.0,3.3
2020,1,28,2020-01-28,Masbate,22.27,55.0,3.9
2020,1,29,2020-01-29,Masbate,25.79,65.0,4.0
2020,1,30,2020-01-30,Masbate,23.83,245.0,4.0
2020,1,31,2020-01-31,Masbate,0.0,127.0,2.6
2020,2,1,2020-02-01,Masbate,0.0,192.0,2.6
2020,2,2,2020-02-02,Masbate,0.0,53.0,2.4
2020,2,3,2020-02-03,Masbate,1.91,35.0,2.7
2020,2,4,2020-02-04,Masbate,0.24,76.0,2.4
2020,2,5,2020-02-05,Masbate,0.0,26.0,2.4
