YEAR,MONTH,DAY,DATE,CITY,RAINFALL,WIND_DIRECTION,WIND_SPEED
2020,1,1,2020-01-01,Daet,6.58,205.0,1.6
2020,1,2,2020-01-02,Daet,4.1,75.0,1.6
2020,1,3,2020-01-03,Daet,16.33,179.0,1.6
2020,1,4,2020-01-04,Daet,14.78,223.0,1.7
2020,1,5,2020-01-05,Daet,10.55,42.0,2.0
2020,1,6,2020-01-06,Daet,17.61,275.0,1.9
2020,1,7,2020-01-07,Daet,24.86,284.0,2.2
2020,1,8,2020-01-08,Daet,17.75,196.0,1.8
2020,1,9,2020-01-09,Daet,7.96,344.0,2.1
2020,1,10,2020-01-10,Daet,13.27,266.0,1.9
2020,1,11,2020-01-11,Daet,15.62,174.0,1.8
2020,1,12,2020-01-12,Daet,23.15,290.0,1.8
2020,1,13,2020-01-13,Daet,15.88,159.0,2.3
2020,1,14,2020-01-14,Daet,10.21,104.0,2.1
2020,1,15,2020-01-15,Daet,10.08,131.0,2.0
2020,1,16,2020-01-16,Daet,10.09,145.0,1.6
2020,1,17,2020-01-17,Daet,12.85,142.0,1.7
2020,1,18,2020-01-18,Daet,12.73,285.0,2.3
2020,1,19,2020-01-19,Daet,16.94,193.0,1.8
2020,1,20,2020-01-20,Daet,15.69,237.0,1.8
2020,1,21,2020-01-21,Daet,8.42,209.0,2.3
2020,1,22,2020-01-22,Daet,12.15,139.0,1.7
2020,1,23,2020-01-23,Daet,9.65,253.0,2.1
2020,1,24,2020-01-24,Daet,11.53,91.0,2.2
2020,1,25,2020-01-25,Daet,17.31,146.0,1.7
2020,1,26,2020-01-26,Daet,13.65,145.0,1.9
2020,1,27,2020-01-27,Daet,19.76,250.0,1.8
2020,1,28,2020-01-28,Daet,9.27,219.0,2.1
2020,1,29,2020-01-29,Daet,15.62,152.0,2.1
2020,1,30,2020-01-30,Daet,14.06,200.0,2.0
2020,1,31,2020-01-31,Daet,7.53,220.0,2.5
2020,2,1,2020-02-01,Daet,0.29,165.0,2.9
2020,2,2,2020-02-02,Daet,4.71,116.0,2.4
2020,2,3,2020-02-03,Daet,7.51,74.0,2.5
2020,2,4,2020-02-04,Daet,8.85,119.0,2.0
2020,2,5,2020-02-05,Daet,12.97,98.0,1.8
2020,2,6,2020-02-06,Daet,11.03,194.0,2.2
2020,2,7,2020-02-07,Daet,13.3,165.0,2.2
2020,2,8,2020-02-08,Daet,18.69,145.0,2.4
2020,2,9,2020-02-09,Daet,11.77,160.0,2.1
2020,2,10,2020-02-10,Daet,15.43,139.0,1.8
2020,2,11,2020-02-11,Daet,17.21,165.0,2.2
2020,2,12,2020-02-12,Daet,14.13,72.0,1.8
2020,2,13,2020-02-13,Daet,23.2,59.0,2.2
2020,2,14,2020-02-14,Daet,11.7,100.0,2.2
2020,2,15,2020-02-15,Daet,20.01,53.0,2.5
2020,2,16,2020-02-16,Daet,17.33,144.0,1.7
2020,2,17,2020-02-17,Daet,12.7,71.0,2.0
2020,2,18,2020-02-18,Daet,14.01,126.0,1.7
2020,2,19,2020-02-19,Daet,6.64,195.0,1.9
2020,2,20,2020-02-20,Daet,7.97,225.0,2.0
2020,2,21,2020-02-21,Daet,15.18,235.0,1.7
2020,2,22,2020-02-22,Daet,11.17,252.0,2.0
2020,2,23,2020-02-23,Daet,0.52,178.0,2.4
2020,2,24,2020-02-24,Daet,0.0,138.0,2.6
2020,2,25,2020-02-25,Daet,9.13,117.0,2.0
2020,2,26,2020-02-26,Daet,8.46,83.0,2.0
2020,2,27,2020-02-27,Daet,3.01,181.0,2.5
2020,2,28,2020-02-28,Daet,3.87,139.0,2.5
2020,2,29,2020-02-29,Daet,0.0,223.0,2.9
2020,3,1,2020-03-01,Daet,0.0,303.0,3.1
2020,3,2,2020-03-02,Daet,7.11,302.0,2.7
2020,3,3,2020-03-03,Daet,9.63,145.0,2.2
2020,3,4,2020-03-04,Daet,0.0,230.0,2.4
2020,3,5,2020-03-05,Daet,0.42,174.0,2.1
2020,3,6,2020-03-06,Daet,6.86,230.0,2.3
2020,3,7,2020-03-07,Daet,0.94,156.0,2.2
2020,3,8,2020-03-08,Daet,3.16,219.0,2.6
2020,3,9,2020-03-09,Daet,6.73,98.0,2.2
2020,3,10,2020-03-10,Daet,9.48,190.0,1.8
2020,3,11,2020-03-11,Daet,6.34,124.0,2.0
2020,3,12,2020-03-12,Daet,18.55,257.0,1.8
