YEAR,MONTH,DAY,DATE,CITY,RAINFALL,WIND_DIRECTION,WIND_SPEED
2020,1,1,2020-01-01,Juban,0.0,78.0,3.6
2020,1,2,2020-01-02,Juban,0.0,16.0,3.7
2020,1,3,2020-01-03,Juban,0.39,66.0,3.5
2020,1,4,2020-01-04,Juban,2.1,75.0,2.9
2020,1,5,2020-01-05,Juban,4.4,25.0,2.8
2020,1,6,2020-01-06,Juban,5.01,114.0,3.6
2020,1,7,2020-01-07,Juban,5.17,16.0,3.1
2020,1,8,2020-01-08,Juban,11.97,16.0,2.8
2020,1,9,2020-01-09,Juban,12.85,16.0,2.9
2020,1,10,2020-01-10,Juban,2.76,16.0,3.4
2020,1,11,2020-01-11,Juban,6.02,16.0,2.2
2020,1,12,2020-01-12,Juban,12.33,16.0,2.3
2020,1,13,2020-01-13,Juban,17.23,110.0,2.4
2020,1,14,2020-01-14,Juban,5.83,28.0,1.0
2020,1,15,2020-01-15,Juban,1.25,80.0,1.9
2020,1,16,2020-01-16,Juban,6.19,49.0,1.6
2020,1,17,2020-01-17,Juban,6.71,90.0,1.6
2020,1,18,2020-01-18,Juban,1.37,103.0,2.2
2020,1,19,2020-01-19,Juban,10.16,145.0,1.4
2020,1,20,2020-01-20,Juban,1.03,103.0,2.3
2020,1,21,2020-01-21,Juban,0.0,122.0,1.1
2020,1,22,2020-01-22,Juban,0.0,93.0,1.3
2020,1,23,2020-01-23,Juban,2.24,188.0,1.0
2020,1,24,2020-01-24,Juban,3.1,172.0,1.0
2020,1,25,2020-01-25,Juban,0.39,158.0,2.2
2020,1,26,2020-01-26,Juban,6.1,184.0,1.0
2020,1,27,2020-01-27,Juban,9.34,57.0,1.7
2020,1,28,2020-01-28,Juban,4.51,66.0,2.3
2020,1,29,2020-01-29,Juban,0.26,70.0,2.5
2020,1,30,2020-01-30,Juban,9.65,16.0,1.8
2020,1,31,2020-01-31,Juban,9.83,16.0,1.2
2020,2,1,2020-02-01,Juban,3.26,227.0,0.9
2020,2,2,2020-02-02,Juban,19.98,189.0,1.2
2020,2,3,2020-02-03,Juban,22.77,228.0,1.7
2020,2,4,2020-02-04,Juban,7.87,225.0,2.1
2020,2,5,2020-02-05,Juban,22.97,161.0,1.1
2020,2,6,2020-02-06,Juban,8.36,138.0,1.7
2020,2,7,2020-02-07,Juban,0.0,244.0,2.3
2020,2,8,2020-02-08,Juban,0.0,202.0,3.1
2020,2,9,2020-02-09,Juban,0.0,155.0,3.0
2020,2,10,2020-02-10,Juban,0.0,253.0,3.0
2020,2,11,2020-02-11,Juban,3.16,137.0,2.2
2020,2,12,2020-02-12,Juban,11.62,175.0,2.7
2020,2,13,2020-02-13,Juban,5.81,70.0,2.3
2020,2,14,2020-02-14,Juban,3.49,174.0,2.7
2020,2,15,2020-02-15,Juban,8.16,72.0,1.3
2020,2,16,2020-02-16,Juban,13.89,170.0,1.5
2020,2,17,2020-02-17,Juban,12.48,165.0,1.9
2020,2,18,2020-02-18,Juban,1.68,200.0,3.0
2020,2,19,2020-02-19,Juban,0.88,101.0,2.4
2020,2,20,2020-02-20,Juban,8.84,103.0,2.5
2020,2,21,2020-02-21,Juban,16.38,122.0,2.5
2020,2,22,2020-02-22,Juban,0.0,147.0,3.3
2020,2,23,2020-02-23,Juban,3.61,77.0,2.4
2020,2,24,2020-02-24,Juban,2.88,68.0,2.4
2020,2,25,2020-02-25,Juban,11.32,141.0,1.0
2020,2,26,2020-02-26,Juban,4.73,74.0,1.0
2020,2,27,2020-02-27,Juban,3.65,131.0,1.2
2020,2,28,2020-02-28,Juban,7.34,207.0,1.4
2020,2,29,2020-02-29,Juban,3.59,130.0,2.2
2020,3,1,2020-03-01,Juban,0.0,16.0,1.6
2020,3,2,2020-03-02,Juban,2.05,160.0,3.0
2020,3,3,2020-03-03,Juban,0.0,159.0,1.9
2020,3,4,2020-03-04,Juban,4.93,46.0,2.0
2020,3,5,2020-03-05,Juban,14.87,55.0,1.4
2020,3,6,2020-03-06,Juban,8.06,16.0,1.9
2020,3,7,2020-03-07,Juban,16.34,22.0,1.8
2020,3,8,2020-03-08,Juban,16.45,181.0,2.0
2020,3,9,2020-03-09,Juban,2.07,16.0,1.1
2020,3,10,2020-03-10,Juban,10.94,61.0,0.8
2020,3,11,2020-03-11,Juban,9.22,36.0,0.8
2020,3,12,2020-03-12,Juban,5.64,141.0,1.2
2020,3,13,2020-03-13,Juban,7.29,113.0,1.5
2020,3,14,2020-03-14,Juban,16.57,147.0,0.8
2020,3,15,2020-03-15,Juban,4.66,99.0,0.9
2020,3,16,2020-03-16,Juban,9.68,24.0,1.5
2020,3,17,2020-03-17,Juban,4.99,71.0,0.8
2020,3,18,2020-03-18,Juban,6.43,67.0,0.8
2020,3,19,2020-03-19,Juban,9.48,51.0,1.7
2020,3,20,2020-03-20,Juban,6.24,31.0,1.7
2020,3,21,2020-03-21,Juban,5.6,56.0,1.2
2020,3,22,2020-03-22,Juban,9.89,16.0,1.8
2020,3,23,2020-03-23,Juban,18.93,64.0,2.6
2020,3,24,2020-03-24,Juban,8.2,16.0,2.3
2020,3,25,2020-03-25,Juban,13.42,103.0,2.6
2020,3,26,2020-03-26,Juban,2.64,16.0,2.3
2020,3,27,2020-03-27,Juban,14.48,28.0,1.9
2020,3,28,2020-03-28,Juban,19.53,31.0,1.2
2020,3,29,2020-03-29,Juban,10.66,61.0,2.4
2020,3,30,2020-03-30,Juban,8.9,22.0,1.8
2020,3,31,2020-03-31,Juban,15.79,21.0,2.1
2020,4,1,2020-04-01,Juban,0.0,78.0,2.1
2020,4,2,2020-04-02,Juban,7.43,164.0,2.4
2020,4,3,2020-04-03,Juban,17.76,139.0,1.6
2020,4,4,2020-04-04,Juban,13.19,190.0,1.0
2020,4,5,2020-04-05,Juban,0.0,105.0,1.4
2020,4,6,2020-04-06,Juban,13.07,119.0,1.2
2020,4,7,2020-04-07,Juban,0.05,254.0,1.1
2020,4,8,2020-04-08,Juban,0.0,170.0,1.0
2020,4,9,2020-04-09,Juban,0.0,268.0,1.5
2020,4,10,2020-04-10,Juban,0.0,239.0,2.3
2020,4,11,2020-04-11,Juban,2.95,338.0,1.0
2020,4,12,2020-04-12,Juban,2.15,329.0,1.8
2020,4,13,2020-04-13,Juban,0.0,259.0,1.6
2020,4,14,2020-04-14,Juban,0.0,250.0,1.0
2020,4,15,2020-04-15,Juban,0.98,302.0,0.8
2020,4,16,2020-04-16,Juban,0.0,312.0,1.4
2020,4,17,2020-04-17,Juban,0.31,347.0,0.9
2020,4,18,2020-04-18,Juban,0.0,315.0,0.8
2020,4,19,2020-04-19,Juban,4.63,312.0,1.0
2020,4,20,2020-04-20,Juban,1.27,340.0,1.3
2020,4,21,2020-04-21,Juban,0.0,308.0,1.1
2020,4,22,2020-04-22,Juban,4.63,321.0,0.8
2020,4,23,2020-04-23,Juban,0.0,304.0,1.7
2020,4,24,2020-04-24,Juban,5.31,303.0,0.8
2020,4,25,2020-04-25,Juban,7.02,320.0,0.8
2020,4,26,2020-04-26,Juban,6.77,297.0,0.8
2020,4,27,2020-04-27,Juban,0.0,335.0,0.8
2020,4,28,2020-04-28,Juban,0.0,282.0,0.8
2020,4,29,2020-04-29,Juban,11.58,315.0,0.8
2020,4,30,2020-04-30,Juban,17.62,48.0,1.2
2020,5,1,2020-05-01,Juban,5.42,266.0,3.0
2020,5,2,2020-05-02,Juban,0.0,191.0,3.1
2020,5,3,2020-05-03,Juban,7.98,113.0,2.2
2020,5,4,2020-05-04,Juban,0.2,162.0,3.1
2020,5,5,2020-05-05,Juban,0.0,122.0,2.4
2020,5,6,2020-05-06,Juban,4.07,34.0,2.1
2020,5,7,2020-05-07,Juban,1.9,72.0,2.9
2020,5,8,2020-05-08,Juban,0.0,171.0,1.8
