YEAR,MONTH,DAY,DATE,CITY,RAINFALL,WIND_DIRECTION,WIND_SPEED
2020,1,1,2020-01-01,Virac Synop,0.0,133.0,1.0
2020,1,2,2020-01-02,Virac Synop,15.35,-48.0,1.9
2020,1,3,2020-01-03,Virac Synop,20.56,39.0,1.2
2020,1,4,2020-01-04,Virac Synop,0.0,84.0,2.7
2020,1,5,2020-01-05,Virac Synop,11.2,57.0,1.6
2020,1,6,2020-01-06,Virac Synop,8.31,192.0,1.4
2020,1,7,2020-01-07,Virac Synop,1.23,219.0,1.4
2020,1,8,2020-01-08,Virac Synop,0.0,130.0,1.8
2020,1,9,2020-01-09,Virac Synop,4.53,246.0,1.3
2020,1,10,2020-01-10,Virac Synop,0.0,119.0,2.1
2020,1,11,2020-01-11,Virac Synop,2.04,104.0,1.8
2020,1,12,2020-01-12,Virac Synop,0.0,151.0,1.7
2020,1,13,2020-01-13,Virac Synop,0.0,156.0,1.3
2020,1,14,2020-01-14,Virac Synop,0.0,214.0,1.0
2020,1,15,2020-01-15,Virac Synop,0.0,214.0,1.2
2020,1,16,2020-01-16,Virac Synop,0.0,276.0,1.3
2020,1,17,2020-01-17,Virac Synop,0.0,228.0,1.1
2020,1,18,2020-01-18,Virac Synop,0.0,208.0,1.1
2020,1,19,2020-01-19,Virac Synop,0.0,133.0,1.8
2020,1,20,2020-01-20,Virac Synop,4.57,255.0,1.0
2020,1,21,2020-01-21,Virac Synop,5.52,187.0,1.0
2020,1,22,2020-01-22,Virac Synop,0.0,238.0,1.0
2020,1,23,2020-01-23,Virac Synop,0.0,70.0,1.8
2020,1,24,2020-01-24,Virac Synop,2.47,224.0,1.3
2020,1,25,2020-01-25,Virac Synop,0.0,149.0,1.5
2020,1,26,2020-01-26,Virac Synop,6.76,141.0,1.0
2020,1,27,2020-01-27,Virac Synop,0.0,150.0,1.6
2020,1,28,2020-01-28,Virac Synop,0.0,243.0,1.3
2020,1,29,2020-01-29,Virac Synop,5.28,248.0,1.1
2020,1,30,2020-01-30,Virac Synop,0.0,182.0,1.0
2020,1,31,2020-01-31,Virac Synop,15.73,187.0,2.3
2020,2,1,2020-02-01,Virac Synop,0.98,101.0,2.1
2020,2,2,2020-02-02,Virac Synop,0.32,256.0,2.0
2020,2,3,2020-02-03,Virac Synop,11.65,130.0,2.8
2020,2,4,2020-02-04,Virac Synop,5.41,54.0,2.1
2020,2,5,2020-02-05,Virac Synop,4.71,53.0,2.9
2020,2,6,2020-02-06,Virac Synop,6.67,-17.0,3.2
2020,2,7,2020-02-07,Virac Synop,8.83,21.0,3.2
2020,2,8,2020-02-08,Virac Synop,13.48,-2.0,1.9
2020,2,9,2020-02-09,Virac Synop,0.96,-20.0,2.8
2020,2,10,2020-02-10,Virac Synop,7.8,73.0,3.0
2020,2,11,2020-02-11,Virac Synop,7.08,-20.0,3.1
2020,2,12,2020-02-12,Virac Synop,2.16,-48.0,3.5
2020,2,13,2020-02-13,Virac Synop,4.73,-48.0,3.8
2020,2,14,2020-02-14,Virac Synop,13.25,-42.0,3.4
2020,2,15,2020-02-15,Virac Synop,4.49,-46.0,3.0
2020,2,16,2020-02-16,Virac Synop,0.67,-48.0,3.7
2020,2,17,2020-02-17,Virac Synop,4.54,-48.0,3.0
2020,2,18,2020-02-18,Virac Synop,2.88,-30.0,3.7
2020,2,19,2020-02-19,Virac Synop,0.11,-48.0,3.5
2020,2,20,2020-02-20,Virac Synop,0.0,-48.0,3.1
2020,2,21,2020-02-21,Virac Synop,1.45,-39.0,2.7
2020,2,22,2020-02-22,Virac Synop,0.0,-48.0,3.3
2020,2,23,2020-02-23,Virac Synop,0.0,-48.0,2.7
2020,2,24,2020-02-24,Virac Synop,0.0,-48.0,3.2
2020,2,25,2020-02-25,Virac Synop,2.15,-18.0,2.8
2020,2,26,2020-02-26,Virac Synop,3.03,-39.0,3.0
2020,2,27,2020-02-27,Virac Synop,3.22,-18.0,2.8
2020,2,28,2020-02-28,Virac Synop,2.26,-48.0,3.1
2020,2,29,2020-02-29,Virac Synop,3.06,-48.0,3.4
2020,3,1,2020-03-01,Virac Synop,8.41,-48.0,2.2
2020,3,2,2020-03-02,Virac Synop,7.42,104.0,2.0
2020,3,3,2020-03-03,Virac Synop,17.8,60.0,1.6
2020,3,4,2020-03-04,Virac Synop,10.86,45.0,1.4
2020,3,5,2020-03-05,Virac Synop,13.55,97.0,1.7
2020,3,6,2020-03-06,Virac Synop,18.51,254.0,2.1
2020,3,7,2020-03-07,Virac Synop,9.77,134.0,2.1
2020,3,8,2020-03-08,Virac Synop,11.88,199.0,1.3
2020,3,9,2020-03-09,Virac Synop,12.4,97.0,1.4
2020,3,10,2020-03-10,Virac Synop,10.85,24.0,2.9
2020,3,11,2020-03-11,Virac Synop,15.32,122.0,2.3
2020,3,12,2020-03-12,Virac Synop,14.53,90.0,2.1
2020,3,13,2020-03-13,Virac Synop,9.83,38.0,2.2
2020,3,14,2020-03-14,Virac Synop,13.06,54.0,2.2
2020,3,15,2020-03-15,Virac Synop,9.93,47.0,2.3
2020,3,16,2020-03-16,Virac Synop,15.81,28.0,2.6
2020,3,17,2020-03-17,Virac Synop,8.64,80.0,3.1
2020,3,18,2020-03-18,Virac Synop,18.69,41.0,2.3
2020,3,19,2020-03-19,Virac Synop,10.99,65.0,3.0
2020,3,20,2020-03-20,Virac Synop,9.74,22.0,3.3
2020,3,21,2020-03-21,Virac Synop,4.84,-18.0,3.1
2020,3,22,2020-03-22,Virac Synop,11.75,37.0,3.0
2020,3,23,2020-03-23,Virac Synop,8.25,33.0,2.4
2020,3,24,2020-03-24,Virac Synop,8.57,-4.0,2.8
2020,3,25,2020-03-25,Virac Synop,15.46,-12.0,3.0
2020,3,26,2020-03-26,Virac Synop,13.83,-23.0,2.8
2020,3,27,2020-03-27,Virac Synop,5.87,54.0,3.1
2020,3,28,2020-03-28,Virac Synop,0.78,20.0,2.9
2020,3,29,2020-03-29,Virac Synop,8.99,1.0,2.5
2020,3,30,2020-03-30,Virac Synop,12.47,25.0,2.7
2020,3,31,2020-03-31,Virac Synop,14.94,109.0,2.1
2020,4,1,2020-04-01,Virac Synop,1.85,10.0,1.7
2020,4,2,2020-04-02,Virac Synop,2.36,-14.0,2.7
2020,4,3,2020-04-03,Virac Synop,0.0,62.0,2.4
2020,4,4,2020-04-04,Virac Synop,14.74,-10.0,2.9
2020,4,5,2020-04-05,Virac Synop,9.65,-31.0,2.5
2020,4,6,2020-04-06,Virac Synop,11.96,-26.0,2.5
2020,4,7,2020-04-07,Virac Synop,6.66,-21.0,3.0
2020,4,8,2020-04-08,Virac Synop,7.04,-48.0,3.4
2020,4,9,2020-04-09,Virac Synop,8.77,-48.0,3.2
2020,4,10,2020-04-10,Virac Synop,18.2,-32.0,2.9
2020,4,11,2020-04-11,Virac Synop,13.15,-10.0,3.1
2020,4,12,2020-04-12,Virac Synop,3.15,-13.0,3.6
2020,4,13,2020-04-13,Virac Synop,6.09,-48.0,3.5
2020,4,14,2020-04-14,Virac Synop,0.71,108.0,2.7
2020,4,15,2020-04-15,Virac Synop,0.88,114.0,3.2
2020,4,16,2020-04-16,Virac Synop,3.04,121.0,2.9
2020,4,17,2020-04-17,Virac Synop,0.0,139.0,2.9
2020,4,18,2020-04-18,Virac Synop,7.36,116.0,3.0
2020,4,19,2020-04-19,Virac Synop,1.38,128.0,2.2
2020,4,20,2020-04-20,Virac Synop,9.5,187.0,1.2
2020,4,21,2020-04-21,Virac Synop,10.47,33.0,1.8
2020,4,22,2020-04-22,Virac Synop,10.26,214.0,1.9
2020,4,23,2020-04-23,Virac Synop,3.05,24.0,2.6
2020,4,24,2020-04-24,Virac Synop,16.77,54.0,2.7
2020,4,25,2020-04-25,Virac Synop,16.49,-10.0,2.7
2020,4,26,2020-04-26,Virac Synop,10.63,109.0,3.4
2020,4,27,2020-04-27,Virac Synop,9.34,146.0,2.7
2020,4,28,2020-04-28,Virac Synop,1.84,27.0,3.0
2020,4,29,2020-04-29,Virac Synop,0.0,-33.0,2.7
2020,4,30,2020-04-30,Virac Synop,0.0,-48.0,3.2
2020,5,1,2020-05-01,Virac Synop,5.64,-41.0,2.6
2020,5,2,2020-05-02,Virac Synop,0.65,143.0,2.2
2020,5,3,2020-05-03,Virac Synop,0.0,7.0,2.4
2020,5,4,2020-05-04,Virac Synop,5.59,167.0,2.5
2020,5,5,2020-05-05,Virac Synop,6.63,77.0,2.3
2020,5,6,2020-05-06,Virac Synop,1.81,90.0,2.2
2020,5,7,2020-05-07,Virac Synop,0.0,164.0,2.7
2020,5,8,2020-05-08,Virac Synop,0.04,179.0,1.9
2020,5,9,2020-05-09,Virac Synop,0.46,277.0,1.0
2020,5,10,2020-05-10,Virac Synop,4.65,111.0,2.3
2020,5,11,2020-05-11,Virac Synop,0.0,94.0,1.8
2020,5,12,2020-05-12,Virac Synop,2.46,155.0,1.4
2020,5,13,2020-05-13,Virac Synop,0.0,80.0,2.4
2020,5,14,2020-05-14,Virac Synop,1.69,76.0,2.1
2020,5,15,2020-05-15,Virac Synop,2.82,75.0,2.2
2020,5,16,2020-05-16,Virac Synop,7.81,-30.0,3.0
2020,5,17,2020-05-17,Virac Synop,0.0,-5.0,3.5
2020,5,18,2020-05-18,Virac Synop,11.9,-48.0,3.5
2020,5,19,2020-05-19,Virac Synop,2.01,122.0,2.9
2020,5,20,2020-05-20,Virac Synop,17.1,13.0,2.4
